model,probe,auroc,auroc_lo,auroc_hi,auprc,f1,fpr,fnr,tpr_at_fpr_0.01,accuracy,threshold_at_target_fpr,n_eval,harm_rate,best_C,val_auroc,tpr_at_fpr_0.01_lo,tpr_at_fpr_0.01_hi,n_boot,auroc_abs_deviation
e5-small-v2,logreg,0.9353,0.9065,0.9589,0.9535,0.8815,0.1532,0.1304,0.4076,0.8604,0.9321,308,0.5974,10.0,0.9456,0.2554,0.6902,1000.0,
e5-small-v2,centroid_distance,0.9069,,,0.9284,0.8696,0.2984,0.0761,0.288,0.8344,0.0188,308,0.5974,,,,,,
e5-small-v2,knn_k15,0.9341,,,0.9524,0.8713,0.3548,0.0435,0.4348,0.8312,0.9361,308,0.5974,,,,,,
ettin-68m,logreg,0.9106,0.879,0.939,0.9394,0.873,0.2339,0.1033,0.3804,0.8442,0.7845,308,0.5974,10.0,0.8972,0.3152,0.6087,1000.0,
ettin-68m,centroid_distance,0.7521,,,0.7934,0.7838,0.5806,0.1033,0.0435,0.7045,0.025,308,0.5974,,,,,,
ettin-68m,knn_k15,0.8628,,,0.9001,0.8295,0.5645,0.0217,0.3261,0.7597,0.9373,308,0.5974,,,,,,
mmbert-small,logreg,0.9097,0.8735,0.9382,0.9275,0.8587,0.2419,0.125,0.212,0.8279,0.8576,308,0.5974,10.0,0.8833,0.0815,0.6087,1000.0,
mmbert-small,centroid_distance,0.7986,,,0.8268,0.801,0.5081,0.1033,0.0707,0.7338,0.0133,308,0.5974,,,,,,
mmbert-small,knn_k15,0.8935,,,0.9268,0.8364,0.5242,0.0272,0.3804,0.7727,0.9343,308,0.5974,,,,,,
—,control_tfidf,0.8861,,,0.9227,0.8384,0.2258,0.1685,0.2609,0.8084,0.7697,308,0.5974,,,,,,
—,control_length,0.7665,,,0.7918,0.716,0.2661,0.3424,0.0489,0.6883,185.0,308,0.5974,,,,,,0.2665
